review_id,review_batch,record_type,record_id,field_name,action,coder,recorded_at,codebook_version,initial_value,previous_value,new_value,source_ids,source_locator,rationale,adjudicator,decision_status,related_review_ids,successor_record_ids
REV-G2-048,G2-BATCH-D,SOURCE_CORRECTION,SRC-G2-074,source_identity,CORRECTED,Devin,26/09/12T02:30:00Z,1.3-candidate,MISMATCH,MISMATCH,COMPLETE,,,Original .eml was misfiled Liverpool MusicFutures email; actual Lancaster AHRC CIC document is TRUENORTH_160726l.pdf (True North AHRC Creative Cluster Application APP114872, 60 pages, 26/07); Fifth Sector is WP6 M&E partner; source register corrected,,,,
RH-26-09-12-QA-COMPLETE,26/09/12,Devin + Iain,QA completion and validation action resolution,"All 63 validation actions resolved: 24 spot-checks completed, 8 Iain confirmations received, 3 methodological evaluations completed, 1 web search (Derby film office), 2 project status updates (P73 COMPLETE_NOT_CLOSED, P82 PHASE_COMPLETE_AWAITING_INSTRUCTION, P75 BID_SUBMITTED); index cards updated for P04-P09; all claims verified against source; no unresolved blockers remain",v1.3,QA-COMPLETE
RH-26-09-12-R3-CARDS,26/09/12,Devin + Iain,R3 card consistency walkthrough (P04-P09),"Six index cards confirmed REVIEWED via one-by-one consistency walkthrough. Key resolutions: P04 Fifth Sector co-lead with Jonathan Todd (BOP); P05 BOP_ASSOCIATE arrangement (fees to Fifth Sector; register updated); P06+P07 framework design confirmed as Fifth Sector contribution (innovation claims verified); P08 precedent STRONG / evidence MEDIUM split; P09 paid commission, challenges paper never finalised. Register semantics confirmed: all work paid to Fifth Sector; contracting_role distinguishes lead/subcontractor/associate arrangement. Skills family committed to ProjectClassifier repo and global library.",v1.4,R3-CARDS-REVIEWED
RH-26-09-12-SCHEMA-REPAIR,26/09/12,Devin,Register schema-drift repair,"15 pilot rows (P01-P15) in 01_projects.csv had role/evidence values shifted into wrong columns by legacy schema migration. Realigned all 15: contracting_role, prime_contractor, relationship_evidence, review_status=REVIEWED, codebook_version=1.3-candidate, review_batch=R3-PILOT; stray notes text moved from parent_project_id to notes. 74 claim fields realigned in 04_claims.csv (P05 SUBCONTRACTOR→BOP_ASSOCIATE etc.). Backups: 01_projects.csv.bak, 04_claims.csv.bak. Found via SHELDON check during five-agent card QA.",v1.4,SCHEMA-REPAIRED
RH-26-09-12-R3-CARDS-REMAINING,26/09/12,Devin + Iain,"R3 card walkthrough completion (P01, P02, P03, P10)","Remaining four pilot cards populated from verified claims and confirmed REVIEWED. P01-NES: four-tier workforce model framing confirmed, contract NOT_DISCLOSED. P02-FGTG: devolved funding option exercise unknown, contract £25k. P03-MITIH: MITIH name corrected (Innovate UK-funded hub at MediaCityUK, not UoS initiative); 25/06 report REJECTION for recommendations now recorded (Oct 24 reconciliation accepted); gated sequence not exercised; contract £25k. P10-KIRK: council use informal/unevidenced (option NOT exercised); 2026 cycle pending; contract £10k per cycle. All ten pilot cards now REVIEWED.",v1.4,R3-CARDS-COMPLETE
RH-26-09-12-PERMISSIONS,26/09/12,Devin + Iain,Tender-citation permissions + bid outcome corrections,"All 10 pilot projects cleared for APPROVED_NAMED tender citation (TENDER_ONLY, not website — separate gate stands). Publication assets register created with 10 rows incl. per-project wording. Material corrections: P06-COSTAR and P07-CC were SHORTLISTED not simply failed — Fifth Sector frameworks performed at submission stage; consortiums lost at later stage. P06 lifecycle→SHORTLISTED_NOT_AWARDED, precedent WEAK→MODERATE. P07 same. Register semantics: failed-bid vs rejected-recommendation distinction recorded (P03 was recommendation rejection on completed work, not failed bid). project_index.csv created (65 rows).",v1.5,PERMISSIONS-CLEARED
RH-26-09-12-LIVEWORK-QA,26/09/12,Devin,Live-work templates SHELDON+SKiN review,"Bid submission record + project management record templates created; milestone prompts converted to self-contained checklist per Iain. SHELDON: PARTIALLY PROVEN (all artefacts exist, triggers convention-based, records await first live event). SKiN: FRICTION→cleared — fixed ID-scheme contradiction (T-NN aligned to 08_tenders) and undefined register-row rule (commissioned bid work gets project row per P06/P07 precedent). tools/regenerate_index.py persisted with built-in schema-drift check.",v1.5,LIVEWORK-TEMPLATES-QA
RH-26-09-12-DATES,26/09/12,Devin,Date normalisation to YY/MM/DD + tenders schema repair,"All registers, cards, changelogs, audit docs and templates normalised to YY/MM/DD (YY/MM month-precision, YY year-only in date fields, YY/MM/DDT timestamps). extracted_text/ left verbatim. ~2,300 conversions via tools/normalise_dates.py (persisted). Also repaired 08_tenders.csv schema drift: T02/T03/T04 extra empty field at position 34 shifting tail values +1; all rows now 38 fields. Convention added to AGENTS.md.",v1.5,DATE-NORMALISED
RH-26-09-12-SWEEP,26/09/12,Devin,Drive sweep agent installed,"tools/drive_sweep.py + sweep_config.json: periodic Drive scanner classifying register gaps (unregistered projects/sources, possible tenders, drift, placeholders). launchd weekday 09:00. Baseline: 24,511 files; CS Salaries (69 files) unregistered — flagged for Iain decision; drive_folder_path filled for P75/P78/P79/P80/P81/P82/P83. Session-start rule added to AGENTS.md.",v1.5,SWEEP-INSTALLED
RH-26-09-12-DOCS,26/09/12,Devin,Sweep README + protocol draft,tools/README_sweep.md for Jon testing; naming_and_transition_protocol.md drafted (move-not-duplicate recommendation; open questions for Iain/Jon),v1.5,DOCS-DRAFTED
RH-26-09-12-PROPOSALS,26/09/12,Devin + Iain,Active proposals triage + registration,"Protocol approved (move/Proposal/one-time tidy). No Active proposals are won/live — all stay put. 7 unregistered proposals registered as T06-T12 with bid records; inferences marked for confirmation. Naming fixes: Maritime Belfast trailing space, BEYOND file filed.",v1.5,PROPOSALS-REGISTERED
RH-26-09-12-T01TEST,26/09/12,Devin,Live tender test T01-BCAT,"Toolkit run on live UK_1412 bid: 10 cited claims verified vs register incl. Liverpool £406m/£780m confirmed vs canonical; caught 2 unregistered cited projects (AMGEN, CS Salaries), P64/P69 possible duplicate, missing T01 bid record (created), FGTG wording flag. Clarifications intel: UK-return priority, 50% commercial weighting flagged.",v1.5,TEST-COMPLETE
RH-26-09-12-REGFIX,26/09/12,Devin + Iain,Cited-but-unregistered projects registered,"P85-AMGEN: DIRECT_PROPOSAL to USW (Iain confirmed — PRIME not subcontractor). P86-CSSAL: CS Salary Benchmarking registered, award status flagged. P64/P69 cross-linked as distinct commissions. T01 bid record updated.",v1.5,REGISTERED
RH-26-09-12-CSSAL,26/09/12,Iain,P86-CSSAL preferred bidder,"Creative Scotland letter: preferred bidder, award after standstill ends 26/09/18. Lifecycle→PREFERRED_BIDDER; confirmation triggers PM record + card.",v1.5,STATUS-UPDATED
RH-26-09-12-P64,26/09/12,Iain,"P64 decoded: Business Case Justification, WYCA funding confirmed",BCJ=Business Case Justification; delivered+successful — WYCA confirmed funding to Wakefield Council (option exercised). P64 dates corrected; claim C-R4-001 added; P64/P69 confirmed distinct sequential commissions.,v1.5,RESOLVED
RH-26-09-12-FGTG,26/09/12,Iain,P02 client arrangement confirmed,Man Met commissioned + PMd on behalf of GM partners and universities. T01 wording flag resolved with recommended edit.,v1.5,CONFIRMED
RH-26-09-12-AMGEN,26/09/12,Iain,"P85-AMGEN completed: £10k direct proposal, USW outcome pending",USW shortlisted; Fifth Sector direct proposal accepted £10k incl VAT; Places evidence delivered for full submission; awaiting consortium outcome. Claim C-R4-002.,v1.5,COMPLETED
RH-26-09-12-T01SUB,26/09/12,Iain,T01-BCAT submitted,UK_1412 bid submitted ahead of 26/09/26 deadline; docs frozen. Awaiting outcome — trigger armed for bid record §5-6 + lessons.,v1.5,SUBMITTED
RH-26-09-12-QA2,26/09/12,Devin,Agents re-review + closure automation,"Sweep tuple/list bug fixed (24,501 false deltas); dead code + stale example + README path + ID format fixed; blindspots documented; pre-commit hook installed enforcing CHANGELOG+audit+history on every commit.",v1.5,QA-PASS
RH-26-09-12-JON,26/09/12,Devin,Jon access note,tools/JON_ACCESS.md: web-Drive (jon@thefifthsector.co.uk) canonical route; share-link/file-ID convention for Places; scripts need local mount so remain Iain-side.,v1.5,DOC
RH-26-09-12-JONFOLD,26/09/12,Devin,Jon docs folded + tenders matching,JON_SWEEP_GUIDE.md replaces two docs; sweep now matches proposals folders to 08_tenders (TENDER_FILE); drive-folder notes on T01/T02.,v1.5,DOCS+FIX
RH-26-09-12-BATCHB,26/09/12,Devin,Batch B: 6 priority cards + repo push,"Repo pushed (16 commits). Cards: P81-WB6, P82-KOTOR (dates corrected 25→26), P83-BCWB, P27-WAKECDF, P64-BCJ, P69-OURYEAR. All DRAFT pending walkthrough; flags logged. Index regenerated.",v1.5,CARDS-DRAFT
RH-26-09-12-P82FIX,26/09/12,Iain + Devin,P82 date error corrected,"Iain: two Berlin Process events (Kotor 2025, Herceg Novi 2026). Reverted register+sources to 25/05; 2026 materials flagged as follow-on phase TBC.",v1.5,CORRECTED
RH-26-09-12-CECARC,26/09/12,Iain,P82/P83 = one CEC programme arc,"Kotor 2025 + Herceg Novi 2026 + council development confirmed as same Creative Economy Councils work, all phase-complete awaiting instruction.",v1.5,CONFIRMED
RH-26-09-12-B2,26/09/12,Devin,Batch B2 — 6 index cards,"P33,P22,P75,P16,P78,P79 — citation-value cluster. P79 lifecycle inconsistency flagged.",v1.5,DRAFT_CARDS
RH-26-09-12-REVFIX,26/09/12,Devin+Iain,Card challenges 1-3 resolved,P22+P27 canonical sources extracted & verified (incl. OneDrive archive); P81 figures verified in client-note table; Green Book provenance = team credentials not report label; FTE inconsistency specified,v1.5,FIXED
RH-26-09-12-CH4-9,26/09/12,Devin+Iain,Card challenges 4-9,P16 £61m verified via UKRI; P33 £75m verified (review false positive); P75 remittance removed; P69 adoption REPORTED; P82 FCDO user-confirmed; P64 user-confirmed,v1.5,FIXED
RH-26-09-12-CITE,26/09/12,Iain+Devin,Two-field citation model adopted,"citation_status + reference_permission replace ""APPROVED via use""; applied to 12 cards + template + codebook + AGENTS.md; P75 £10k confirmed; P79 lifecycle fixed",v1.5,RULE_CHANGE
RH-26-09-12-REMIT,26/09/12,Iain+Devin,P75 remittance verdict reversed,"lu_remittance_advice_8032520.pdf found on OneDrive — £1,499.70 paid 26/05/08 vs INV-1357; fabrication verdict wrong; source registered; £10k vs £1,499.70 TBC",v1.5,CORRECTION
RH-26-09-12-EXTRACT,26/09/12,Devin,13 claim-linked sources extracted,"All claim-linked sources now have extracts; 2 canonical corrections (WMGC v2a, Herefordshire FINAL); register integrity checks pass",v1.5,EVIDENCE_COMPLETE
RH-26-09-12-SECTIONB,26/09/12,Devin,Section B source registration complete,"11 sources + 5 claims + 6 evidence links for P35/P85/P86; P85 drive_folder_path fixed; VERSION_AMBIGUITY added to sweep agent + guide + AGENTS.md extraction rules",v1.5,EVIDENCE_COMPLETE
RH-26-09-12-SCORES,26/09/12,Devin,P86 outcome letter + score-capture rule,"SRC-R5-013 registered; T13-CSSAL tender row created; 92.83% weighted score verified arithmetically; score logging now mandatory for won+lost bids",v1.5,EVIDENCE_COMPLETE
RH-26-09-12-SECTIONC,26/09/12,Iain+Devin,All five Section C inconsistencies resolved,"P27 160FTE; P75 remittance=P87 workshop (new project); P22 interim/final reconciled; P08 4.0bn; P06 2022-2025; P87-TRUENORTH + SRC-R5-014 registered",v1.5,CORRECTION
